,name,ticker,manager
0,Access Flex High Yield Fund,FYAIX US equity,Jeff Ploshnick
1,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,Mark E Durbiano
2,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,Simon Milledge
