1,2,3,4,5
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
MassMutual Premier High Yield Fund,MPHAX US equity,Scott Roth,Fund Manager,#N/A N/A
,,Sean Feeley,Fund Manager,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
HSBC High Yield Bond Fund,HBYAX US equity,Mary Gottshall Bowers,Co-Manager,7/14/15
,,Ricky Liu,Co-Manager,7/14/15
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Pioneer High Yield Fund,TAHYX US equity,Ken Monaghan,Co Manager,10/1/19
,,Andrew D Feltus,Co-Manager,1/1/07
,,Matt Shulkin,Co Manager,10/1/17
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Voya High Yield Bond Fund,IHYAX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,Matt Toms,Member: Fund Management Team,3/1/10
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
Goldman Sachs High Yield Fund,GSHAX US equity,Robert Magnuson,Member: Fund Management Team,1/1/14
,,Rachel C Golder,Member: Fund Management Team,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Transamerica High Yield Bond,IHIYX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,Ben Miller,Member:Fund Management Team,1/1/06
,,"James K Schaeffer Jr ""Jim""",Member: Fund Management Team,1/1/07
,,Kevin Bakker,Member: Fund Management Team,1/1/07
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
MFS High Income Fund,MHITX US equity,Bill Adams,Member:Fund Management Team,5/1/11
,,Mike Skatrud,Member:Fund Management Team,3/1/18
,,David Cole,Member:Fund Management Team,1/1/06
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,3/1/18
Janus Henderson High-Yield Fund,JHYAX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Stone Harbor High Yield Bond Fund,SHHYX US equity,Marianne Rossi,Member: Fund Management Team,9/1/10
,,Peter J Wilby,Member: Fund Management Team,8/1/07
,,"Daniel Berkery ""Dan""",Member: Fund Management Team,9/1/10
,,Cathy Nolan,Member: Fund Management Team,1/1/12
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Timothy Plan High Yield Bond Fund,TPHAX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,Mark C Luchsinger,Member: Fund Management Team,5/1/07
,,J Scott McDonald,Member: Fund Management Team,5/1/07
,,Deborah Petruzzelli,Member: Fund Management Team,5/1/07
,,Erik A Olson,Member:Fund Management Team,1/1/14
,,John Steven Williams,Member:Fund Management Team,5/2/07
,,,,
,,,,
,,,,
,,,,
PIMCO High Yield Fund,PHDAX US equity,Andrew R Jessop,Co-Manager,1/1/10
,,Sonali Pier,CO MANAGER,7/27/19
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Harbor High-Yield Bond Fund,HYFAX US equity,Mark R Shenkman,Portfolio Manager,1/1/02
,,Justin W Slatky,Portfolio Manager,1/1/12
,,Eric Dobbin,Portfolio Manager,1/1/12
,,Bob Kricheff,Portfolio Manager,1/1/15
,,Neil Wechsler,Portfolio Manager,1/1/16
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
First Eagle Funds - First Eagle High Income Fund,FEHAX US equity,Edward Meigs,Member:Fund Management Team,11/19/07
,,Sean Michael Slein,Member:Fund Management Team,11/19/07
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Barings US High Yield Fund,BXHAX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Penn Capital Multi-Credit High Income Fund,PHYNX US equity,David Jackson,PORTFOLIO MANAGER,12/1/15
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Fidelity Global High Income Fund,FGHNX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,Ian Spreadbury,Member: Fund Management Team,5/11/11
,,Harley J Lank,Member: Fund Management Team,5/11/11
,,Lisa J Roche,Member:Fund Management Team,6/29/13
,,John H Carlson,Member Fund Management Team,1/1/19
,,James Durance,Member:Fund Management Team,1/1/19
,,,,
,,,,
,,,,
,,,,
Westwood High Income Fund,WHGHX US equity,Brendan M Ryan,FUND MANAGER,#N/A N/A
,,Adrian Helfert,FUND MANAGER,1/1/19
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Vanguard High-Yield Corporate Fund,VWEHX US equity,Michael L Hong,FUND MANAGER,1/1/08
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Northern High Yield Fixed Income Fund,NHFIX US equity,Benjamin McCubbin,Co Manager,#N/A N/A
,,Eric Williams,Fund Manager,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Loomis Sayles Institutional High Income Fund,LSHIX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,"Matthew J Eagan ""Matt""",Member: Fund Management Team,2/1/07
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
Neuberger Berman High Income Bond Fund,NHINX US equity,Joseph W Lind,MEMBER FUND MANAGEMENT TEAM,12/31/19
,,Chris Kocinski,MEMBER FUND MANAGEMENT TEAM,12/31/19
,,Russ Covode,Member: Fund Management Team,2/28/11
,,Dan Doyle,Member: Fund Management Team,2/28/14
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
Metropolitan West High Yield Bond Fund,MWHYX US equity,Stephen M Kane,FUND MANAGER,1/1/96
,,Laird R Landmann,Fund Manager,1/1/96
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Segall Bryant & Hamill Quality High Yield Fund,WTLTX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,Gregory M Shea,Co-Manager,5/10/16
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
John Hancock High Yield Fund,JHHBX US equity,Caryn Rothman,Member:Fund Management Team,#N/A N/A
,,John Addeo,Member:Fund Management Team,7/1/12
,,Dennis F McCafferty,Member:Fund Management Team,12/21/09
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
Virtus Newfleet High Yield Fund,PHCHX US equity,David L Albrycht,Member:Fund Management Team,1/1/11
,,Kyle A Jennings,Member:Fund Management Team,1/1/11
,,Frank Ossino,Member:Fund Management Team,1/1/12
,,Eric Hess,Member:Fund Management Team,8/30/19
,,Bill Eastwood,Member:Fund Management Team,8/30/19
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Delaware High-Yield Opportunities Fund,DHOAX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,Adam H Brown,Member: Fund Management Team,11/1/14
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
TIAA-CREF High Yield Fund,TIHYX US equity,Kevin R Lorenz,FUND MANAGER,1/1/06
,,Jean Lin,Portfolio Manager,1/1/11
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
Fidelity High Income Fund,SPHIX US equity,Michael Weaver,Co-Manager,12/4/18
,,Alexandre Karam,Co-Manager,12/4/18
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
TCW High Yield Bond Fund,TGHYX US equity,Laird R Landmann,Co-Manager,2/1/11
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
T Rowe Price High Yield Fund Inc,PRHYX US equity,Rodney Rayburn,FUND MANAGER,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
USAA High Income Fund,USHYX US equity,John Charles Spear,Member:Fund Management Team,11/1/16
,,Kurt Daum,Member:Fund Management Team,11/4/16
,,Neal Graves,Member:Fund Management Team,7/1/19
,,James Jackson,Member:Fund Management Team,7/1/19
,,Julianne Bass,Member:Fund Management Team,1/1/07
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Guggenheim High Yield Fund,SHYIX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,Kevin H Gundersen,Member: Fund Management Team,8/1/12
,,Thomas Hauser,Member:Fund Management Team,1/1/17
,,Richard De Wet,Member:Fund Management Team,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
BrandywineGLOBAL - Global High Yield Fund,LMZIX US equity,Tracy Chen,Member:Fund Management Team,12/28/09
,,Brian L Kloss,Member: Fund Management Team,12/31/09
,,"Gerhardt P Herbert ""Gary""",Member: Fund Management Team,3/31/10
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Principal Funds Income High Yield Fund,PHYTX US equity,Josh Rank,Member:Fund Management Team,#N/A N/A
,,Darrin E Smith,Member:Fund Management Team,1/1/09
,,Mark P Denkinger,Member:Fund Management Team,5/4/09
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Morgan Stanley Institutional Fund Trust - High Yield Portfolio,MSYIX US equity,Jack Cimarosa,Co-Manager,1/1/17
,,Richard J Lindquist,Co-Manager,2/1/12
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
Lord Abbett High Yield Fund,LHYAX US equity,Steven F Rocco,Portfolio Manager,1/1/10
,,Robert A Lee,Portfolio Manager,1/1/13
,,Christopher Gizzo,Portfolio Manager,1/1/13
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
Payden High Income Fund,PYHRX US equity,Kristin J Ceva,Member Fund Management Team,#N/A N/A
,,"James P Sarni ""Jim""",Member Fund Management Team,#N/A N/A
,,James T Wong,Member Fund Management Team,#N/A N/A
,,Alfred Giles,Member Fund Management Team,#N/A N/A
,,Timothy Crawmer,Member Fund Management Team,#N/A N/A
,,Jordan Lopez,Member Fund Management Team,8/14/12
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
Federated Hermes Opportunistic High Yield Bond Fund,FHYTX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
American Beacon SiM High Yield Opportunities Fund,SHOAX US equity,Gary J Pokrzywinski,Co-Manager,2/14/11
,,Brian L Placzek,Co-Manager,1/1/11
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
Federated Hermes High Income B,FHIIX US equity,Mark E Durbiano,Co-Manager,1/1/87
,,Steven Wagner,Portfolio Manager,5/1/17
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
DWS High Income Fund,KHYAX US equity,Thomas R Bouchard,Member:Fund Management Team,1/1/16
,,Lonnie Fox,Member:Fund Management Team,8/1/18
,,Gary Russell,Member:Fund Management Team,8/2/06
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Nuveen High Yield Income Fund,NCOAX US equity,Jean C Lin,Co Manager,8/17/20
,,Scott Caraher,Co Manager,1/1/19
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
Hartford High Yield Fund/The,HAHAX US equity,Chris Jones,Fund Manager,3/5/12
,,David Marshak,Fund Manager,1/1/12
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
Loomis Sayles High Income Fund,NEFHX US equity,"Matthew J Eagan ""Matt""",MEMBER:FUND MANAGEMENT TEAM,1/1/02
,,Elaine M Stokes,MEMBER:FUND MANAGEMENT TEAM,1/1/07
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
Putnam High Yield Fund,PHYIX US equity,Norm Boucher,Member: Fund Management Team,1/1/05
,,Robert L Salvin,Member: Fund Management Team,1/1/05
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Western Asset Global High Yield Bond Fund,SAHYX US equity,Michael C Buchanan,Member:Portfolio Management Te,1/1/06
,,Ian R Edmonds,Member:Fund Management Team,1/1/12
,,Walter E Kilcullen,Member:Fund Management Team,1/1/12
,,"S Kenneth Leech ""Ken""",Member:Portfolio Management Te,1/1/06
,,Tj Settel,Member:Fund Management Team,1/1/12
,,Paul Shuttleworth,Member:Fund Management Team,1/1/12
,,Christopher F Kilpatrick,Member:Fund Management Team,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Nationwide Amundi Global High Yield Fund,NWXIX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,Ken Monaghan,Portfolio Manager,1/1/15
,,Andrew D Feltus,Portfolio Manager,1/1/18
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Pax High Yield Bond Fund,PAXHX US equity,Peter Schwab,Fund Manager,10/26/15
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Macquarie High Yield Bond Portfolio,DPHYX US equity,John P McCarthy,Co Manager,12/4/12
,,Adam H Brown,Co Manager,11/6/14
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1290 High Yield Bond Fund,TNHAX US equity,Kenneth Kozlowski,Member: Fund Management Team,1/1/14
,,Alwi Chan,Member: Fund Management Team,1/1/14
,,Carl Whitbeck,Member: Fund Management Team,1/1/14
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Ivy High Income Fund,WHIAX US equity,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
Northern Multi-Manager High Yield Opportunity Fund,NMHYX US equity,Christopher Edward Vella,Fund Manager,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Pacific Funds Strategic Income,PLSRX US equity,Michael Marzouk,Co-Manager,#N/A N/A
,,Brian Robertson,Co-Manager,12/21/11
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
PIA High Yield Fund,PHYSX US equity,Lloyd McAdams,Member:Fund Management Team,#N/A N/A
,,Evangelos Karagiannis,Member:Fund Management Team,10/22/17
,,Michael Y Yean,Member:Fund Management Team,10/22/17
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
,,,,
Angel Oak High Yield Opportunities Fund,ANHAX US equity,Nichole Hammond,Member:Fund Management Team,#N/A N/A
,,Matt Kennedy,Member: Fund Management Team,1/1/09
,,"Sreeniwas V Prabhu ""Sreeni""",Member: Fund Management Team,3/1/16
,,Berkin Kologlu,Member: Fund Management Team,7/1/16
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
,,,,
,,,,
,,,,
,,,,
SEI Institutional Managed Trust - High Yield Bond Fund,SHYAX US equity,David Aniloff,Member: Fund Management Team,1/1/05
,,Seth J Brufsky,Member:Portfolio Management Te,1/1/07
,,John Leupp,Member: Fund Management Team,1/1/07
,,Donald Ellis Morgan III,Member: Fund Management Team,4/1/09
,,Rob Cook,Member: Fund Management Team,1/1/05
,,Thomas Hauser,Member: Fund Management Team,1/1/05
,,Paul A Matlack,Member: Fund Management Team,1/1/12
,,"Thomas James Gahan ""Tom""",Member:Fund Management Team,1/1/14
,,Michael E Paasche,Member:Fund Management Team,1/1/14
,,Adam H Brown,Member:Fund Management Team,1/1/14
Hartford Strategic Income Fund,HSNAX US equity,Chris Testa,Member:Fund Management Team,1/1/14
,,Michael Schafer,Member:Fund Management Team,1/1/15
,,#N/A N/A,#N/A N/A,#N/A N/A
,,#N/A N/A,#N/A N/A,#N/A N/A
